题号,题干,选项A,选项B,选项C,选项D,答案
1,每个图中结点度的总和等于边数的()倍。,1,2,3,4,B
2,"有向图G是强连通图,当且仅当()",图G中至少有一条通路,图G中有通过每个顶点至少一次的通路,图G中至少有一条回路,图G中有通过每个顶点至少一次的回路,D
3,"有向图G=<V,E>,其中V={a,b,c,d,e,f}, E={<a,b>,<b,c>,<a,d>,<d,e>,<f,e>}是()。",弱连通图,单向连通图,强连通图,不连通图,A
4,"设图G的邻接矩阵为[[0,1,1,1,1],[1,0,1,0,0],[1,1,0,1,1],[1,0,1,0,1],[1,0,1,1,0]],则G的顶点数与边数分别为()。","4, 5","5, 6","4, 10","5, 8",D
5,"无向图是欧拉图,则()。",该无向图是连通图,该无向图没有奇度顶点,A和B同时成立,以上全错,C
6,无向树简称()。,树,森林,结点,以上全部错误,A
7,"设G是有n个结点,m条边的连通图,必须删去G的()条边,才能确定G的一棵生成树。",m-n,m-n+1,m+n+1,n-m+1,B
8,"一个顶点入度为0,其余顶点入度为1的有向树称为()。",根树,环,孤立点,分支点,A
9,图中没有边关联的顶点称为()。,孤立点,顶点,元素,以上全部错误,A
10,"无向图中,如果关联一对顶点的无向边多于1条,则这些边称为()。",集合,平行边,序偶,度,B
11,"在一个图既有有向边又有无向边,该图是()。",有向图,无向图,混合图,以上全部错误,C
12,"设L是无向图G中的一条通路,L中的顶点各不相同,则L是一条()",简单通路,初级通路,简单回路,初级回路,B
13,"若D=<V,E>是连通图,而且对任意vi,vj∈V,均有路径vi到vj,则称D是()。",强连通图,弱连通图,以上全部正确,以上全部错误,A
14,"已知图G的邻接矩阵为[[0,1,0,1,1],[1,0,0,0,1],[0,0,0,1,1],[1,0,1,0,1],[1,1,1,1,0]],则G有()","5点,8边","6点,8边","6点,7边","5点,7边",D
15,半欧拉图具有()。,欧拉通路,欧拉回路,都有,都没有,A
16,"设T是n阶非平凡的无向树,则T中至少有()片树叶。",1,2,3,4,B
17,任何有n个结点m条边的连通无向图G至少有()棵生成树。,m,n,1,m+n,C
18,"根树T的每个分支点至多有r个儿子,则称T为()。",集合,序偶,有向边,r叉树,D
19,如果一个图是简单图则该图不包含()。,平行边,环,A和B,A或者B,C
20,"如果两个顶点之间有一条有向边,则称这2个顶点()。",相邻,相同,以上全部正确,以上全部错误,A
