kp1_name,kp1_id,relation,kp2_name,kp2_id
集合与运算,K1,is_prerequisite_for,关系与映射,K2
关系与映射,K2,is_prerequisite_for,图的基本概念,K3
图的基本概念,K3,is_prerequisite_for,图的表示方法,K4
图的表示方法,K4,is_prerequisite_for,图的遍历,K5
图的遍历,K5,is_prerequisite_for,连通性,K6
连通性,K6,is_prerequisite_for,强连通分量,K7
图的基本概念,K3,is_prerequisite_for,度的概念,K8
度的概念,K8,is_prerequisite_for,握手定理,K9
图的基本概念,K3,is_prerequisite_for,子图与生成子图,K10
子图与生成子图,K10,is_prerequisite_for,树的基本概念,K11
树的基本概念,K11,is_prerequisite_for,生成树,K12
生成树,K12,is_prerequisite_for,最小生成树,K13
图的遍历,K5,is_prerequisite_for,最小生成树,K13
图的基本概念,K3,is_prerequisite_for,路径与回路,K14
路径与回路,K14,is_prerequisite_for,欧拉图,K15
路径与回路,K14,is_prerequisite_for,哈密顿图,K16
连通性,K6,is_prerequisite_for,欧拉图,K15
连通性,K6,is_prerequisite_for,哈密顿图,K16
图的遍历,K5,is_prerequisite_for,最短路径,K17
最短路径,K17,is_prerequisite_for,Dijkstra算法,K18
最短路径,K17,is_prerequisite_for,Floyd算法,K19
图的基本概念,K3,is_prerequisite_for,二分图,K20
二分图,K20,is_prerequisite_for,匹配,K21
匹配,K21,is_prerequisite_for,最大匹配,K22
图的基本概念,K3,is_prerequisite_for,平面图,K23
平面图,K23,is_prerequisite_for,欧拉公式,K24
图的基本概念,K3,is_prerequisite_for,图的着色,K25
图的着色,K25,is_prerequisite_for,四色定理,K26
度的概念,K8,is_related_to,图的着色,K25
树的基本概念,K11,is_related_to,连通性,K6
欧拉图,K15,is_related_to,哈密顿图,K16
二分图,K20,is_related_to,图的着色,K25
平面图,K23,is_related_to,图的着色,K25
最小生成树,K13,is_related_to,最短路径,K17
强连通分量,K7,is_related_to,图的遍历,K5
Dijkstra算法,K18,is_related_to,Floyd算法,K19
